g23876		NA;NA
g36290		NA;NA
g61122	GO:0005672; GO:0006367	transcription factor TFIIA complex; transcription initiation from RNA polymerase II promoter;NA
g50752		NA;NA
g34599		NA;NA
g39156	GO:0008376; GO:0032580	acetylgalactosaminyltransferase activity; Golgi cisterna membrane;NA
g25409	GO:0003676; GO:0008270	nucleic acid binding; zinc ion binding;NA
g6370		NA;NA
g53887		NA;NA
g48109		NA;NA
g24269	GO:0004672; GO:0005515; GO:0005524; GO:0006468	protein kinase activity; protein binding; ATP binding; protein phosphorylation;NA
g35046		NA;NA
g48819		NA;NA
g38364	GO:0003700; GO:0005667; GO:0006355	DNA-binding transcription factor activity; transcription regulator complex; regulation of transcription, DNA-templated;NA
g25687	GO:0005515	protein binding;NA
g55623		NA;NA
g49134	GO:0003700; GO:0005634; GO:0006355	DNA-binding transcription factor activity; nucleus; regulation of transcription, DNA-templated;NA
g67242		NA;NA
g53132	GO:0003677	DNA binding;NA
g12998	GO:0003700; GO:0005667; GO:0006355	DNA-binding transcription factor activity; transcription regulator complex; regulation of transcription, DNA-templated;NA
g10421	GO:0004672; GO:0005515; GO:0005524; GO:0006468	protein kinase activity; protein binding; ATP binding; protein phosphorylation;NA
g58926		NA;NA
g49267	GO:0016435; GO:0070476	rRNA (guanine) methyltransferase activity; rRNA (guanine-N7)-methylation;NA
adi2mcaRNA35119_R0	GO:0006397;GO:0006397	mRNA processing;mRNA processing [GO:0006397]
g32752		NA;NA
g12285	GO:0006368; GO:0016570; GO:0016593;GO:0006368;GO:0016570;GO:0016593	transcription elongation from RNA polymerase II promoter; histone modification; Cdc73/Paf1 complex;Cdc73/Paf1 complex [GO:0016593]; histone modification [GO:0016570]; transcription elongation from RNA polymerase II promoter [GO:0006368]
g41403		NA;NA
g50380	GO:0016020	membrane;NA
g23861		NA;NA
g60687	GO:0003777; GO:0005524; GO:0007018; GO:0008017;GO:0003777;GO:0005524;GO:0005874;GO:0007018;GO:0008017	microtubule motor activity; ATP binding; microtubule-based movement; microtubule binding;microtubule [GO:0005874]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]
g27843		NA;NA
g46373	;GO:0003677;GO:0005634	NA;nucleus [GO:0005634]; DNA binding [GO:0003677]
g64247		NA;NA
g44633	GO:0004672; GO:0005515; GO:0005524; GO:0006468	protein kinase activity; protein binding; ATP binding; protein phosphorylation;NA
g47990		NA;NA
g53997	GO:0009263; GO:0016491; GO:0055114	deoxyribonucleotide biosynthetic process; oxidoreductase activity; oxidation-reduction process;NA
g44802		NA;NA
g7583		NA;NA
g62607		NA;NA
g46369	GO:0003924; GO:0005525	GTPase activity; GTP binding;NA
adi2mcaRNA9037_R0		NA;NA
adi2mcaRNA30198_R0	GO:0006397	mRNA processing;NA
g36451		NA;NA
g68176	GO:0005515	protein binding;NA
g26427	GO:0005515	protein binding;NA
g67827		NA;NA
g57151		NA;NA
g56478	GO:0001671; GO:0051087	ATPase activator activity; chaperone binding;NA
g55195		NA;NA
g62002		NA;NA
g62770	GO:0006368; GO:0016570; GO:0016593	transcription elongation from RNA polymerase II promoter; histone modification; Cdc73/Paf1 complex;NA
g67111		NA;NA
g69045		NA;NA
g12570		NA;NA
g46547	GO:0003723;GO:0003723	RNA binding;RNA binding [GO:0003723]
adi2mcaRNA3152_R1	;GO:0003697;GO:0006301;GO:0006513;GO:0061630	NA;single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase activity [GO:0061630]; postreplication repair [GO:0006301]; protein monoubiquitination [GO:0006513]
g4664	GO:0005515	protein binding;NA
g49490		NA;NA
g62715	GO:0003723	RNA binding;NA
g17679	GO:0005515	protein binding;NA
g27208	GO:0005085	guanyl-nucleotide exchange factor activity;NA
g34656		NA;NA
g57675	GO:0008270	zinc ion binding;NA
g56768		NA;NA
g58599	GO:0000398; GO:0005681	mRNA splicing, via spliceosome; spliceosomal complex;NA
g21633	GO:0005524	ATP binding;NA
g41830		NA;NA
g42218		NA;NA
g53999	GO:0003743	translation initiation factor activity;NA
adi2mcaRNA27032_R1		NA;NA
g48529		NA;NA
g15170	GO:0005634;GO:0005634	nucleus;nucleus [GO:0005634]
g14606	NA	NA
g61952	GO:0016791; GO:0043169	phosphatase activity; cation binding;NA
g43098	GO:0005515	protein binding;NA
g43322	GO:0008270; GO:0009086; GO:0047150	zinc ion binding; methionine biosynthetic process; betaine-homocysteine S-methyltransferase activity;NA
g88	GO:0005515	protein binding;NA
g71132	GO:0004672; GO:0005524; GO:0006468	protein kinase activity; ATP binding; protein phosphorylation;NA
adi2mcaRNA23574_R0		NA;NA
g37074	GO:0005515	protein binding;NA
g35177	GO:0005634; GO:0006260	nucleus; DNA replication;NA
g29880	GO:0035556	intracellular signal transduction;NA
adi2mcaRNA8511_R1	GO:0005515	protein binding;NA
g35102	GO:0016791; GO:0043169	phosphatase activity; cation binding;NA
g10624	GO:0005634; GO:0046907;GO:0005634;GO:0005643;GO:0005737;GO:0008536;GO:0043547;GO:0046907	nucleus; intracellular transport;cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634]; Ran GTPase binding [GO:0008536]; intracellular transport [GO:0046907]; positive regulation of GTPase activity [GO:0043547]
adi2mcaRNA9843_R0	GO:0003676; GO:0004386; GO:0005524	nucleic acid binding; helicase activity; ATP binding;NA
g58549	GO:0005515	protein binding;NA
g19246	NA	NA
g36975	GO:0000278; GO:0000287; GO:0004715; GO:0005524; GO:0005634; GO:0006468	mitotic cell cycle; magnesium ion binding; non-membrane spanning protein tyrosine kinase activity; ATP binding; nucleus; protein phosphorylation;NA
g70558	GO:0003723; GO:0006396	RNA binding; RNA processing;NA
g27887		NA;NA
g19712	GO:0005515;GO:0007062;GO:0008278	protein binding;cohesin complex [GO:0008278]; sister chromatid cohesion [GO:0007062]
g68716	;GO:0003676;GO:0008270	NA;nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
g15364	NA	NA
g27910		NA;NA
g36179	NA	NA
g6446		NA;NA
g9360	GO:0005509	calcium ion binding;NA
g63466	GO:0003723; GO:0005634; GO:0006396; GO:1990904	RNA binding; nucleus; RNA processing; ribonucleoprotein complex;NA
g14701	GO:0006275	regulation of DNA replication;NA
g41442	GO:0046983	protein dimerization activity;NA
g14605	GO:0005488;GO:0003676;GO:0008270	binding;nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
g55196	GO:0005515	protein binding;NA
g8981		NA;NA
g56275	GO:0016787	hydrolase activity;NA
adi2mcaRNA8957_R0		NA;NA
g65827	GO:0005732; GO:0006364; GO:0034457	small nucleolar ribonucleoprotein complex; rRNA processing; Mpp10 complex;NA
g38208		NA;NA
g18729		NA;NA
g65962	GO:0001682; GO:0003723; GO:0004526; GO:0030677	tRNA 5'-leader removal; RNA binding; ribonuclease P activity; ribonuclease P complex;NA
g53780		NA;NA
g62771	GO:0003723; GO:0004000; GO:0006396	RNA binding; adenosine deaminase activity; RNA processing;NA
g22494	GO:0005509; GO:0016772	calcium ion binding; transferase activity, transferring phosphorus-containing groups;NA
g34405	GO:0005515; GO:0006355; GO:0043565	protein binding; regulation of transcription, DNA-templated; sequence-specific DNA binding;NA
g21698		NA;NA
g11631	GO:0005634; GO:0046907;GO:0005634;GO:0005643;GO:0005737;GO:0008536;GO:0043547;GO:0046907	nucleus; intracellular transport;cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634]; Ran GTPase binding [GO:0008536]; intracellular transport [GO:0046907]; positive regulation of GTPase activity [GO:0043547]
adi2mcaRNA5211_R0		NA;NA
g48644	GO:0003676	nucleic acid binding;NA
g58925		NA;NA
g55624		NA;NA
g32928	GO:0004843; GO:0006511; GO:0016579	thiol-dependent ubiquitin-specific protease activity; ubiquitin-dependent protein catabolic process; protein deubiquitination;NA
g5415		NA;NA
g28147		NA;NA
g29934		NA;NA
g17816		NA;NA
g29205		NA;NA
g71511	GO:0003723; GO:0005634; GO:0006396; GO:1990904	RNA binding; nucleus; RNA processing; ribonucleoprotein complex;NA
g52048		NA;NA
g68777		NA;NA
g13102	GO:0046983;GO:0046983	protein dimerization activity;protein dimerization activity [GO:0046983]
g69630	GO:0005515	protein binding;NA
g3409	GO:0005634	nucleus;NA
g24976	GO:0003777; GO:0005524; GO:0007018; GO:0008017	microtubule motor activity; ATP binding; microtubule-based movement; microtubule binding;NA
g16338	GO:0005542; GO:0016740;GO:0005542;GO:0016740	folic acid binding; transferase activity;folic acid binding [GO:0005542]; transferase activity [GO:0016740]
g68166		NA;NA
g62791		NA;NA
g62719		NA;NA
g32785	GO:0003700; GO:0006355	DNA-binding transcription factor activity; regulation of transcription, DNA-templated;NA
g49847	GO:0003723; GO:0004809; GO:0008033; GO:0046872	RNA binding; tRNA (guanine-N2-)-methyltransferase activity; tRNA processing; metal ion binding;NA
g71123	GO:0003824	catalytic activity;NA
adi2mcaRNA16924_R2	GO:0005262; GO:0016020; GO:0070588	calcium channel activity; membrane; calcium ion transmembrane transport;NA
g70486	GO:0005515	protein binding;NA
g60738		NA;NA
g71356		NA;NA
g64090	GO:0005515	protein binding;NA
g28905		NA;NA
g39409	GO:0005634	nucleus;NA
g22808		NA;NA
g37399		NA;NA
g63810	GO:0000776; GO:0034508	kinetochore; centromere complex assembly;NA
g63050		NA;NA
g38026	GO:0005515	protein binding;NA
g38253		NA;NA
g66745		NA;NA
g62835	GO:0003676	nucleic acid binding;NA
g45308		NA;NA
g67731	GO:0003676; GO:0005524	nucleic acid binding; ATP binding;NA
g54778		NA;NA
g54698	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007010; GO:0007017;GO:0003924;GO:0005200;GO:0005525;GO:0005737;GO:0005874;GO:0007017	GTPase activity; structural constituent of cytoskeleton; GTP binding; cytoplasm; microtubule; cytoskeleton organization; microtubule-based process;cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]
g33677	;GO:0003777;GO:0005524;GO:0007018;GO:0008017	NA;ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]
g37742		NA;NA
g34995		NA;NA
g69050	GO:0003824	catalytic activity;NA
g5463	GO:0006508; GO:0008237; GO:0008241; GO:0016020	proteolysis; metallopeptidase activity; peptidyl-dipeptidase activity; membrane;NA
g6182	GO:0016020	membrane;NA
g41463	GO:0005515	protein binding;NA
g68178	GO:0003676; GO:0008270	nucleic acid binding; zinc ion binding;NA
adi2mcaRNA15683_R0		NA;NA
g43833	GO:0003682;GO:0003682	chromatin binding;chromatin binding [GO:0003682]
g56978	GO:0003723; GO:0008270	RNA binding; zinc ion binding;NA
adi2mcaRNA4299_R0	GO:0003677; GO:0005524; GO:0032508	DNA binding; ATP binding; DNA duplex unwinding;NA
g60214		NA;NA
g27542		NA;NA
g63375	GO:0008270	zinc ion binding;NA
g36767	GO:0005515	protein binding;NA
g57645		NA;NA
adi2mcaRNA2517_R0		NA;NA
g45511		NA;NA
g22428	;GO:0000079;GO:0010389;GO:0019901;GO:0042025	NA;host cell nucleus [GO:0042025]; protein kinase binding [GO:0019901]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]
g4181	GO:0005525	GTP binding;NA
g28571	GO:0070897	transcription preinitiation complex assembly;NA
adi2mcaRNA24733_R0		NA;NA
g47418	GO:0005634; GO:0006974; GO:0048478	nucleus; cellular response to DNA damage stimulus; replication fork protection;NA
g55163		NA;NA
g68355	GO:0008237; GO:0008270	metallopeptidase activity; zinc ion binding;NA
g13222		NA;NA
adi2mcaRNA27477_R0	GO:0005515	protein binding;NA
g31001		NA;NA
g24271	GO:0003676	nucleic acid binding;NA
g22623		NA;NA
g44531		NA;NA
g55965		NA;NA
g49269		NA;NA
g38203		NA;NA
g10419	GO:0003676	nucleic acid binding;NA
g11236	GO:0005515	protein binding;NA
g39879		NA;NA
g31456	GO:0019904	protein domain specific binding;NA
g41221		NA;NA
g54341		NA;NA
g474	GO:0005096; GO:0005515; GO:0007165	GTPase activator activity; protein binding; signal transduction;NA
g36228		NA;NA
g71424		NA;NA
g60073		NA;NA
g57099	GO:0007165	signal transduction;NA
g57634		NA;NA
g28318	GO:0000278; GO:0005634; GO:0030261	mitotic cell cycle; nucleus; chromosome condensation;NA
g31881	GO:0003676; GO:0008270	nucleic acid binding; zinc ion binding;NA
g29875	GO:0004197; GO:0006508	cysteine-type endopeptidase activity; proteolysis;NA
g71448	GO:0003723; GO:0005634; GO:0005737; GO:0006397	RNA binding; nucleus; cytoplasm; mRNA processing;NA
g53865	GO:0003676; GO:0005515; GO:0031047;GO:0003676;GO:0031047	nucleic acid binding; protein binding; gene silencing by RNA;nucleic acid binding [GO:0003676]; gene silencing by RNA [GO:0031047]
g23832		NA;NA
g46686		NA;NA
g67772		NA;NA
g64765	GO:0004672; GO:0005524; GO:0006468	protein kinase activity; ATP binding; protein phosphorylation;NA
g8603		NA;NA
g34648	GO:0005515	protein binding;NA
g2955	GO:0000786; GO:0003677; GO:0046982	nucleosome; DNA binding; protein heterodimerization activity;NA
g12287		NA;NA
adi2mcaRNA12403_R0	GO:0032040	small-subunit processome;NA
g24111		NA;NA
g68200	GO:0003676	nucleic acid binding;NA
g40461		NA;NA
g47453	GO:0003684; GO:0003887; GO:0005267; GO:0006281; GO:0016020; GO:0071805	damaged DNA binding; DNA-directed DNA polymerase activity; potassium channel activity; DNA repair; membrane; potassium ion transmembrane transport;NA
g18687	;GO:0046872	NA;metal ion binding [GO:0046872]
g43321		NA;NA
g67660	GO:0005515	protein binding;NA
g62597		NA;NA
g42338		NA;NA
g71047		NA;NA
adi2mcaRNA14912_R0	;GO:0004842;GO:0006275;GO:0006513	NA;ubiquitin-protein transferase activity [GO:0004842]; protein monoubiquitination [GO:0006513]; regulation of DNA replication [GO:0006275]
adi2mcaRNA6492_R0	GO:0003777; GO:0005524; GO:0007018; GO:0008017	microtubule motor activity; ATP binding; microtubule-based movement; microtubule binding;NA
g42831		NA;NA
g54280	GO:0000902; GO:0015631	cell morphogenesis; tubulin binding;NA
g35004		NA;NA
adi2mcaRNA6487_R1		NA;NA
g13257		NA;NA
g55446		NA;NA
g27861	GO:0005515	protein binding;NA
g49928		NA;NA
g31824	GO:0003723; GO:0005634; GO:0006396; GO:1990904	RNA binding; nucleus; RNA processing; ribonucleoprotein complex;NA
g39439	GO:0005085; GO:0035556	guanyl-nucleotide exchange factor activity; intracellular signal transduction;NA
adi2mcaRNA12557_R0	GO:0016020	membrane;NA
g8899	GO:0004843; GO:0006511; GO:0016579	thiol-dependent ubiquitin-specific protease activity; ubiquitin-dependent protein catabolic process; protein deubiquitination;NA
g70612		NA;NA
g56112		NA;NA
g53133	GO:0003723	RNA binding;NA
g68918		NA;NA
g3320	GO:0000786; GO:0003677; GO:0006334	nucleosome; DNA binding; nucleosome assembly;NA
g7167		NA;NA
g2920	GO:0015018; GO:0016020	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity; membrane;NA
g15155		NA;NA
g2144	GO:0006275	regulation of DNA replication;NA
g56262	GO:0003735; GO:0005840; GO:0006412	structural constituent of ribosome; ribosome; translation;NA
g40747	GO:0003677; GO:0005515; GO:0035312	DNA binding; protein binding; 5'-3' exodeoxyribonuclease activity;NA
g12314	GO:0005515	protein binding;NA
g53229	GO:0005634; GO:0006355; GO:0008270	nucleus; regulation of transcription, DNA-templated; zinc ion binding;NA
g70335		NA;NA
g26515		NA;NA
adi2mcaRNA3630_R0	GO:0004725; GO:0006470	protein tyrosine phosphatase activity; protein dephosphorylation;NA
adi2mcaRNA155_R0	GO:0003924; GO:0005515; GO:0005525; GO:0007264	GTPase activity; protein binding; GTP binding; small GTPase mediated signal transduction;NA
adi2mcaRNA35168_R1	GO:0003684; GO:0003887; GO:0006281	damaged DNA binding; DNA-directed DNA polymerase activity; DNA repair;NA
g10420	GO:0000387; GO:0003676; GO:0005685; GO:0008270	spliceosomal snRNP assembly; nucleic acid binding; U1 snRNP; zinc ion binding;NA
g6229		NA;NA
g31738		NA;NA
g33679	;GO:0003777;GO:0005524;GO:0007018;GO:0008017	NA;ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]
g60497	GO:0003677; GO:0003917; GO:0005694; GO:0006265	DNA binding; DNA topoisomerase type I (single strand cut, ATP-independent) activity; chromosome; DNA topological change;NA
g28979		NA;NA
g9989	GO:0006606	protein import into nucleus;NA
g32305		NA;NA
g25489	GO:0005634; GO:0006325; GO:0006355	nucleus; chromatin organization; regulation of transcription, DNA-templated;NA
g49974		NA;NA
g64064		NA;NA
g63849		NA;NA
g21653	GO:0005515	protein binding;NA
g37216	GO:0000166; GO:0005388; GO:0006816; GO:0016021	nucleotide binding; calcium transmembrane transporter activity, phosphorylative mechanism; calcium ion transport; integral component of membrane;NA
g38615		NA;NA
g10474	GO:0000723; GO:0003678; GO:0006281	telomere maintenance; DNA helicase activity; DNA repair;NA
g33278		NA;NA
g70994		NA;NA
g47455	GO:0003677; GO:0004518	DNA binding; nuclease activity;NA
g58961	GO:0004222; GO:0006508	metalloendopeptidase activity; proteolysis;NA
g41730		NA;NA
g35178		NA;NA
g50751	GO:0071949	FAD binding;NA
adi2mcaRNA41172_R0		NA;NA
g16778	GO:0009143; GO:0047429	nucleoside triphosphate catabolic process; nucleoside-triphosphate diphosphatase activity;NA
g18920		NA;NA
g58096		NA;NA
g32230		NA;NA
